Store,Dept,Product,Date,Weekly_Sales,Revenue,Quantity,Unit_Price,Discount,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Type,Size,Region,Category,Profit,Profit_Margin,Customer_Segment
1,1,Great Value Cereal,2021-01-01,28833.65,28833.65,407,72.51,0.023,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Grocery,6808.67,0.2361,Premium
1,3,Laundry Detergent,2021-01-01,31818.7,31818.7,327,103.96,0.064,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Household,6608.17,0.2077,Premium
1,5,Smart TV 43 Inch,2021-01-01,41103.04,41103.04,64,698.84,0.081,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Technology,10138.2,0.2467,Premium
1,7,Winter Jacket,2021-01-01,43772.16,43772.16,279,177.28,0.115,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Apparel,4456.43,0.1018,Family
1,10,Vitamin Bundle,2021-01-01,29654.31,29654.31,314,107.32,0.12,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Pharmacy,5716.41,0.1928,Convenience
1,12,Cookware Combo,2021-01-01,36536.04,36536.04,296,135.19,0.087,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Home,9243.47,0.253,Convenience
1,16,Outdoor Play Set,2021-01-01,42409.73,42409.73,231,201.53,0.089,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Toys,5551.32,0.1309,Family
1,20,All-Weather Mats,2021-01-01,26564.55,26564.55,69,392.45,0.019,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Automotive,7846.47,0.2954,Premium
1,24,Patio Planter,2021-01-01,30095.16,30095.16,321,94.89,0.012,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Garden,6145.83,0.2042,Value
1,28,Summer Cooler,2021-01-01,25589.98,25589.98,405,68.01,0.071,0,48.36,3.108,211.217,6.692,A,117097,Northeast,Seasonal,4805.45,0.1878,Family
2,1,Great Value Cereal,2021-01-01,25878.31,25878.31,341,80.99,0.063,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Grocery,7350.88,0.2841,Family
2,3,Laundry Detergent,2021-01-01,34072.29,34072.29,182,200.87,0.068,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Household,8817.36,0.2588,Premium
2,5,Wireless Headphones,2021-01-01,53150.81,53150.81,137,387.96,0,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Technology,13618.64,0.2562,Premium
2,7,Athletic Shoes,2021-01-01,55281.94,55281.94,71,816.16,0.046,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Apparel,7717.3,0.1396,Value
2,10,Wellness Pack,2021-01-01,26901.79,26901.79,256,107.23,0.02,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Pharmacy,4078.11,0.1516,Family
2,12,Cookware Combo,2021-01-01,29846.99,29846.99,316,95.99,0.016,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Home,8140.03,0.2727,Premium
2,16,Building Blocks,2021-01-01,36263.86,36263.86,272,135.08,0.013,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Toys,6576.78,0.1814,Premium
2,20,Motor Oil Pack,2021-01-01,25373.81,25373.81,69,393.3,0.065,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Automotive,3796.29,0.1496,Family
2,24,Patio Planter,2021-01-01,39045.08,39045.08,311,128.63,0.024,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Garden,7797.06,0.1997,Value
2,28,Back-to-School Kit,2021-01-01,22626.08,22626.08,357,67.5,0.061,0,48.36,3.108,211.217,6.692,B,187964,Midwest,Seasonal,5419.22,0.2395,Convenience
3,1,Great Value Cereal,2021-01-01,14078.3,14078.3,370,39.51,0.037,0,48.36,3.108,211.217,6.692,A,69561,West,Grocery,2313.27,0.1643,Family
3,3,Laundry Detergent,2021-01-01,18041.5,18041.5,218,86.75,0.046,0,48.36,3.108,211.217,6.692,A,69561,West,Household,2609.27,0.1446,Convenience
3,5,Tablet Essentials Kit,2021-01-01,23817.99,23817.99,323,75.17,0.019,0,48.36,3.108,211.217,6.692,A,69561,West,Technology,3347.44,0.1405,Value
3,7,Athletic Shoes,2021-01-01,28072.3,28072.3,349,82.84,0.029,0,48.36,3.108,211.217,6.692,A,69561,West,Apparel,5061.45,0.1803,Convenience
3,10,Vitamin Bundle,2021-01-01,15269.2,15269.2,66,234.4,0.013,0,48.36,3.108,211.217,6.692,A,69561,West,Pharmacy,4016.53,0.263,Family
3,12,Cookware Combo,2021-01-01,20834.31,20834.31,174,122.06,0.019,0,48.36,3.108,211.217,6.692,A,69561,West,Home,3802.88,0.1825,Family
3,16,Building Blocks,2021-01-01,27250.81,27250.81,229,126.73,0.061,0,48.36,3.108,211.217,6.692,A,69561,West,Toys,7180.86,0.2635,Convenience
3,20,Car Care Kit,2021-01-01,13535.92,13535.92,92,152.47,0.035,0,48.36,3.108,211.217,6.692,A,69561,West,Automotive,1939.72,0.1433,Value
3,24,Patio Planter,2021-01-01,21508.56,21508.56,399,58.79,0.083,0,48.36,3.108,211.217,6.692,A,69561,West,Garden,2739.43,0.1274,Premium
3,28,Back-to-School Kit,2021-01-01,11462.57,11462.57,156,73.92,0.006,0,48.36,3.108,211.217,6.692,A,69561,West,Seasonal,2808.06,0.245,Convenience
4,1,Great Value Cereal,2021-01-01,46445.91,46445.91,368,133.84,0.057,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Grocery,6353.38,0.1368,Convenience
4,3,Laundry Detergent,2021-01-01,53610.91,53610.91,262,207.11,0.012,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Household,12590.47,0.2348,Family
4,5,Smart TV 43 Inch,2021-01-01,73320.48,73320.48,62,1328.75,0.11,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Technology,9531.85,0.13,Value
4,7,Athletic Shoes,2021-01-01,66136.08,66136.08,209,342.84,0.077,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Apparel,16879.08,0.2552,Convenience
4,10,Vitamin Bundle,2021-01-01,43299.29,43299.29,246,191.74,0.082,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Pharmacy,10407.8,0.2404,Premium
4,12,Storage Organizer,2021-01-01,57407.42,57407.42,331,178.62,0.029,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Home,17450.53,0.304,Convenience
4,16,Building Blocks,2021-01-01,69240.19,69240.19,375,191.54,0.036,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Toys,12365.4,0.1786,Premium
4,20,All-Weather Mats,2021-01-01,41945.36,41945.36,211,205.36,0.032,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Automotive,6594.59,0.1572,Value
4,24,Patio Planter,2021-01-01,63217.16,63217.16,273,241.46,0.041,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Garden,16591.45,0.2625,Premium
4,28,Back-to-School Kit,2021-01-01,37848.05,37848.05,392,104.15,0.073,0,48.36,3.108,211.217,6.692,B,187853,Northeast,Seasonal,7695.4,0.2033,Value
5,1,Bakery Value Pack,2021-01-01,14503.74,14503.74,167,88.08,0.014,0,48.36,3.108,211.217,6.692,B,46703,West,Grocery,3142.91,0.2167,Convenience
5,3,Kitchen Towels,2021-01-01,19901.91,19901.91,298,67.32,0.008,0,48.36,3.108,211.217,6.692,B,46703,West,Household,4683.63,0.2353,Value
5,5,Tablet Essentials Kit,2021-01-01,25391.01,25391.01,166,166.8,0.083,0,48.36,3.108,211.217,6.692,B,46703,West,Technology,3411.75,0.1344,Premium
5,7,Winter Jacket,2021-01-01,25744.96,25744.96,405,66.01,0.037,0,48.36,3.108,211.217,6.692,B,46703,West,Apparel,6232.91,0.2421,Family
5,10,Wellness Pack,2021-01-01,14171.26,14171.26,118,128.86,0.068,0,48.36,3.108,211.217,6.692,B,46703,West,Pharmacy,2965.08,0.2092,Premium
5,12,Cookware Combo,2021-01-01,17466.62,17466.62,396,47.12,0.064,0,48.36,3.108,211.217,6.692,B,46703,West,Home,2010.52,0.1151,Convenience
5,16,Board Game Pack,2021-01-01,22975.42,22975.42,319,76.13,0.054,0,48.36,3.108,211.217,6.692,B,46703,West,Toys,4661.36,0.2029,Premium
5,20,Car Care Kit,2021-01-01,15767.95,15767.95,410,39.12,0.017,0,48.36,3.108,211.217,6.692,B,46703,West,Automotive,4536.08,0.2877,Family
5,24,Garden Tool Set,2021-01-01,20865.95,20865.95,82,272.15,0.065,0,48.36,3.108,211.217,6.692,B,46703,West,Garden,4197.07,0.2011,Family
5,28,Back-to-School Kit,2021-01-01,12772.3,12772.3,207,61.7,0,0,48.36,3.108,211.217,6.692,B,46703,West,Seasonal,3447.42,0.2699,Premium
6,1,Fresh Produce Bundle,2021-01-01,28080.15,28080.15,316,92.28,0.037,0,48.36,3.108,211.217,6.692,B,134194,Midwest,Grocery,3575.69,0.1273,Family
6,3,Laundry Detergent,2021-01-01,28462.56,28462.56,328,96.96,0.105,0,48.36,3.108,211.217,6.692,B,134194,Midwest,Household,6151.5,0.2161,Convenience
6,5,Wireless Headphones,2021-01-01,47208.12,47208.12,123,389.26,0.014,0,48.36,3.108,211.217,6.692,B,134194,Midwest,Technology,8987.36,0.1904,Premium
6,7,Athletic Shoes,2021-01-01,52785.97,52785.97,164,360.84,0.108,0,48.36,3.108,211.217,6.692,B,134194,Midwest,Apparel,12605.82,0.2388,Family
6,10,First Aid Kit,2021-01-01,27807.17,27807.17,75,392.76,0.056,0,48.36,3.108,211.217,6.692,B,134194,Midwest,Pharmacy,3789.46,0.1363,Premium
6,12,Bedding Set,2021-01-01,32920.01,32920.01,275,129.7,0.077,0,48.36,3.108,211.217,6.692,B,134194,Midwest,Home,4792.06,0.1456,Convenience
6,16,Outdoor Play Set,2021-01-01,46857.36,46857.36,287,170.6,0.043,0,48.36,3.108,211.217,6.692,B,134194,Midwest,Toys,8889.06,0.1897,Convenience
