,Revenue,Weekly_Sales,Discount,Temperature,Fuel_Price,CPI,Unemployment,Size,Profit,Profit_Margin
Revenue,1.0,1.0,0.03142001289869204,-0.00413189507594028,0.0594221615601459,-0.0035357419233675792,0.015928156347575828,0.5492274003071165,0.8618463797602478,-0.006584268367663577
Weekly_Sales,1.0,1.0,0.03142001289869204,-0.00413189507594028,0.0594221615601459,-0.0035357419233675792,0.015928156347575828,0.5492274003071165,0.8618463797602478,-0.006584268367663577
Discount,0.03142001289869204,0.03142001289869204,1.0,0.002279338389583863,0.057452039804336524,-0.0066032493655902485,0.02900929721988585,0.0026238436493471015,-0.12767937397014,-0.3396319145569122
Temperature,-0.00413189507594028,-0.00413189507594028,0.002279338389583863,1.0,0.320275917538164,-0.02612803808226895,0.06084978877176896,1.2141956351432633e-15,-0.005747437550611489,-0.007722742096931877
Fuel_Price,0.0594221615601459,0.0594221615601459,0.057452039804336524,0.320275917538164,1.0,0.016598652189604084,0.06720940371588714,-1.8684991847641003e-16,0.0431702897763917,-0.018018978044556953
CPI,-0.0035357419233675792,-0.0035357419233675792,-0.0066032493655902485,-0.02612803808226895,0.016598652189604084,1.0,-0.8231431670104365,-6.281307459384838e-15,-0.001832318248211703,0.0023067857471706136
Unemployment,0.015928156347575828,0.015928156347575828,0.02900929721988585,0.06084978877176896,0.06720940371588714,-0.8231431670104365,1.0,5.312805889700533e-15,0.006635743735558283,-0.010105797941576549
Size,0.5492274003071165,0.5492274003071165,0.0026238436493471015,1.2141956351432633e-15,-1.8684991847641003e-16,-6.281307459384838e-15,5.312805889700533e-15,1.0,0.4786349418190002,0.002113669669044793
Profit,0.8618463797602478,0.8618463797602478,-0.12767937397014,-0.005747437550611489,0.0431702897763917,-0.001832318248211703,0.006635743735558283,0.4786349418190002,1.0,0.43867732237368867
Profit_Margin,-0.006584268367663577,-0.006584268367663577,-0.3396319145569122,-0.007722742096931877,-0.018018978044556953,0.0023067857471706136,-0.010105797941576549,0.002113669669044793,0.43867732237368867,1.0
