Month,total_sales,total_profit
2021-01,27309879.67,5452944.93
2021-02,21744103.37,4356489.07
2021-03,21542110.08,4339300.65
2021-04,26549609.81,5262690.0
2021-05,21077554.62,4188214.23
2021-06,20879496.02,4143572.24
2021-07,26361608.88,5299102.16
2021-08,21152656.02,4271125.26
2021-09,21129246.5,4235770.9
2021-10,26783933.91,5316312.27
2021-11,21749047.48,4281299.34
2021-12,30884214.91,5847807.11
2022-01,21763440.94,4416280.18
2022-02,21787847.09,4239450.45
2022-03,21525878.24,4191680.0
2022-04,26409031.46,5298883.12
2022-05,21113269.580000002,4170118.26
2022-06,20917650.83,4129038.09
2022-07,26277366.48,5293138.1
2022-08,21118210.95,4251159.96
2022-09,26540859.23,5249785.91
2022-10,21477470.2,4187217.14
2022-11,23520945.81,4667275.04
2022-12,30866280.04,5945731.01
2023-01,21964753.92,4391268.39
2023-02,23429241.6,4487060.71
2023-03,26913267.19,5470377.14
2023-04,21180477.75,4208489.59
2023-05,21011616.39,4225671.7
2023-06,26022061.04,5126993.84
2023-07,20818686.96,4147708.07
2023-08,20857710.77,4078903.79
2023-09,26473566.28,5264077.12
2023-10,21428691.07,4352158.27
2023-11,21690549.49,4365464.54
2023-12,23568515.8,4632166.11
