Product,total_sales,total_profit,average_discount,profit_margin
Denim Jeans,40060868.65,7841651.0,0.05897439024390244,0.19686096169034742
Outdoor Play Set,37880844.54,7568345.68,0.05642370744010088,0.19904563981040646
Board Game Pack,37213986.36,7470424.27,0.05808812260536398,0.20139862157736196
Building Blocks,36775075.66,7162176.57,0.05841361256544503,0.19630498908533212
Winter Jacket,36289648.73,7081401.64,0.05925785340314137,0.1958368458475398
Athletic Shoes,35887425.6,6985030.13,0.058400793650793655,0.1955946123109877
Outdoor Lighting,35178853.36,7038183.12,0.05822279129321383,0.20037789689121316
Patio Planter,34364737.77,6781259.22,0.05670595690747782,0.1983562932311366
Garden Tool Set,34254175.78,6837925.36,0.05475974025974026,0.19992732473720615
Wireless Headphones,33017802.9,6750102.55,0.05689254108723136,0.2043417022451575
Tablet Essentials Kit,31962073.99,6284140.43,0.05898994974874372,0.19889744807409673
Smart TV 43 Inch,30879573.48,6218637.11,0.05763213811420983,0.20186635669024489
Cleaning Starter Kit,28034785.97,5613520.22,0.05866871165644171,0.20011548021985426
Bedding Set,27764950.49,5542259.96,0.058508641975308646,0.19843785398622735
Storage Organizer,27458899.35,5479451.7,0.05662060301507538,0.1993076179481893
Car Care Kit,26380529.53,5288335.74,0.05811737089201878,0.20086871439674997
Laundry Detergent,25851168.07,5087625.35,0.057102094240837696,0.19693634453873707
Kitchen Towels,25796267.13,5063758.15,0.0577030223390276,0.1973088053242449
Cookware Combo,24647148.25,4895422.16,0.0552016348773842,0.19806260397708877
All-Weather Mats,22991179.44,4618078.58,0.057892388451443566,0.1999274456727985
Motor Oil Pack,22193321.43,4392030.23,0.05776584022038568,0.19749378564748984
Great Value Cereal,22193076.33,4447522.27,0.05820544554455446,0.19992037705830792
Wellness Pack,22069998.39,4443236.55,0.0554769038701623,0.20075729757811234
Holiday Decor Box,21715833.25,4301916.05,0.057959026888604354,0.19906399365446825
First Aid Kit,21403407.11,4199463.07,0.05682093316519546,0.19557402610920882
Back-to-School Kit,21183783.98,4107027.1,0.056933333333333336,0.19404393639299874
Bakery Value Pack,21014578.67,4136524.09,0.057569782330345716,0.19554610894733446
Summer Cooler,20718077.43,4073085.05,0.05490968586387435,0.1961425485106904
Fresh Produce Bundle,20452251.5,4107460.0,0.05679227696404794,0.2002429538369972
Vitamin Bundle,20206527.24,3968731.34,0.057359249329758714,0.19790545746992855
