Store,total_sales,total_profit,profit_margin,average_weekly_sales,sales_volatility
13,109906827.12,21979413.82,0.20057951883129502,70453.09430769231,18612.273331158955
10,95332935.05,18791031.42,0.1975842805035671,61110.85580128205,15894.075025082755
8,87924962.49,17272479.05,0.19683401365601358,56362.15544230769,14668.16774144218
4,86680124.17,17239724.64,0.19916532860033323,55564.18216025641,14709.273800248195
9,58570044.61,11597750.19,0.19861119028592086,37544.90039102564,9896.639122105284
14,58136296.94,11540064.65,0.19903192543197445,37266.85701282051,9770.932227782
2,55679547.13,11030516.1,0.19879956934216897,35692.01739102564,9356.3812056887
6,52337150.82,10315351.68,0.19691230799628284,33549.455653846155,8844.823097425113
1,51817195.27,10428105.6,0.201345841347651,33216.15081410257,8790.326339784102
12,44520105.5,8909808.67,0.19969324839425662,28538.529166666667,7538.643659199369
15,35391948.07,7039515.38,0.19868274878735376,22687.14619871795,6041.713926240284
7,33175180.46,6540741.56,0.19724954375108322,21266.141320512823,5592.726424871182
3,29643852.88,5822369.75,0.19651907921949732,19002.469794871795,5009.170825763148
5,29264041.62,5822962.63,0.19932126237116105,18759.001038461538,4891.890345866759
11,17460638.25,3454889.55,0.19814932869745291,11192.716826923077,2960.2312129624333
